"","PERMVIT","MONTH","ROUTE","SP_JUR","HARM_EV","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","drunkDr"
"126",4,4,3,0,12,1,1,0,1,1,10,1,1,2,2,1,1,3,2,2,2,1,2,3,2,2,1,2,2,2,0
"127",3,4,4,0,12,1,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"128",2,3,4,0,42,1,1,0,5,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,1
"129",4,3,6,0,12,3,2,0,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"130",3,3,3,0,12,2,2,1,1,3,1,1,1,2,2,2,1,2,1,2,2,2,1,3,2,2,2,2,2,2,0
"131",4,3,6,0,12,1,1,0,1,2,1,1,1,1,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,1
"132",2,4,4,0,12,1,1,0,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,0
"133",2,4,4,0,8,1,1,0,4,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,0
"134",1,4,3,0,42,1,1,0,4,5,10,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1
"135",2,4,3,0,12,1,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,0
"136",1,4,3,0,34,1,1,0,4,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1
"137",2,4,3,0,12,1,1,0,1,4,10,1,1,1,2,1,1,2,2,2,2,1,2,3,2,2,2,2,2,2,0
"138",6,4,2,0,12,1,1,0,1,1,2,1,1,1,2,1,1,3,2,2,2,2,2,3,2,1,1,2,2,2,0
"139",3,3,3,0,33,1,1,0,4,2,1,1,1,2,2,2,1,2,2,2,2,1,2,3,2,2,1,2,2,2,0
"140",1,4,1,0,52,1,1,0,4,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,0
"141",2,3,1,0,25,1,1,0,3,3,1,1,1,2,1,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,0
"142",3,4,4,0,12,1,1,0,1,5,2,1,1,1,2,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,0
"143",1,2,3,0,42,1,1,0,4,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,0
"144",1,3,6,0,8,3,3,0,1,3,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"145",3,3,2,0,12,2,3,0,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,3,2,1,2,2,2,2,0
"146",1,4,6,0,8,2,3,0,1,2,1,1,1,2,2,1,1,1,2,2,1,2,2,3,2,2,2,1,2,2,0
"147",2,4,2,0,12,2,2,0,1,3,10,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0
"148",2,4,4,0,42,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,2,2,3,2,2,2,2,2,2,0
"149",3,4,2,0,12,1,1,0,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,3,2,1,2,2,2,2,0
"150",1,4,6,0,42,3,3,0,4,3,10,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1
"151",1,4,4,0,53,1,1,0,4,2,10,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1
"152",2,4,3,0,42,3,3,0,4,2,1,1,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,1
"153",3,4,3,0,12,2,2,0,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,3,1,2,1,2,2,2,0
"154",4,4,2,0,12,2,2,0,1,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,0
"155",2,4,4,0,12,1,1,0,1,2,5,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,0
"156",5,4,2,0,12,1,1,0,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1
"157",2,4,3,0,12,8,1,0,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0
"158",2,4,3,0,42,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,0
"159",1,4,3,0,30,3,3,0,4,1,10,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0
"160",4,4,3,0,12,8,1,0,1,3,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,0
"161",1,4,3,0,8,1,1,0,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,1,2,2,0
"162",2,4,2,0,12,2,2,0,1,1,10,1,1,2,2,1,2,2,1,2,2,2,2,3,2,1,2,2,2,2,0
"163",5,4,2,0,12,1,1,0,1,2,10,2,1,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,0
"164",1,4,3,0,32,1,1,0,4,2,10,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,0
"165",2,4,4,0,12,2,3,0,1,1,10,1,1,1,2,1,2,2,2,1,2,2,2,3,2,1,2,2,2,2,0
"166",1,4,2,0,8,1,1,0,1,3,10,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,1,2,2,2,0
"167",1,4,4,0,32,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,1
"168",3,4,4,0,35,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,0
"169",2,4,4,0,42,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1
"170",4,4,4,0,12,1,1,0,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"171",3,4,3,0,12,1,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,0
"172",6,4,1,0,12,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,1,2,2,2,2,0
"173",2,4,1,0,1,1,1,0,3,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1
"174",1,4,1,0,1,1,1,0,3,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,0
"175",4,4,4,0,12,1,1,0,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,3,1,1,2,2,2,2,0
"176",2,4,4,0,12,2,3,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1
"177",3,4,6,0,12,2,2,0,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,3,2,1,2,2,2,2,1
"178",1,4,4,0,42,1,1,1,4,2,10,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1
"179",2,4,2,0,12,8,1,0,1,3,10,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1
"180",3,4,4,0,12,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,0
"181",5,4,4,0,12,1,1,0,1,1,10,2,1,1,2,1,1,2,2,2,2,2,2,3,1,2,1,2,2,2,0
"182",4,4,3,0,12,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,0
"183",1,4,3,0,32,1,1,0,4,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,0
"184",2,4,1,0,12,1,1,0,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,0
"185",2,4,1,0,12,1,1,0,1,2,10,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1
"186",3,5,1,0,1,19,1,0,3,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,0
"187",2,5,1,0,52,1,1,0,3,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1
"188",2,4,3,0,8,1,1,0,1,3,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,0
"189",2,4,2,0,12,1,1,0,1,3,2,1,1,2,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,0
"190",1,4,3,0,8,1,1,0,1,2,10,1,1,2,2,2,1,1,2,2,1,2,2,3,1,2,2,2,2,2,0
"191",2,4,4,0,12,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,0
"192",1,4,2,0,1,1,1,0,5,1,10,1,1,2,2,2,2,1,2,1,2,1,2,3,2,1,2,2,2,2,0
"193",2,4,4,0,12,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,3,2,1,2,2,2,2,0
"194",1,4,2,0,52,1,1,0,3,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,0
